"GPStime","peakFreq","snr","amplitude","centralFreq","duration","bandwidth","chisq","chisqDof","confidence","id","ifo","label","imgUrl"
1228993830.063,21.146,12.724,1.23e-21,3830.580,2.000,7649.482910,0.000,0.000,0.997,"x6KJP3r4Y8","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/O3/ER13/9avBuCi9L4/x6KJP3r4Y8.png"
1229145994.563,25.722,28.668,7.43e-22,3977.241,4.250,7946.482910,0.000,0.000,0.997,"Rn4hTyjpSu","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/O3/ER13/qjYZFqQhHo/Rn4hTyjpSu.png"
1228975756.438,29.137,45.234,1.04e-21,3978.313,7.956,7944.340332,0.000,0.000,0.997,"Hge9PGdaEL","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/O3/ER13/9avBuCi9L4/Hge9PGdaEL.png"
1229068063.375,10.189,14.440,1.13e-18,3979.047,4.000,7942.870605,0.000,0.000,0.997,"i7hmICBxzf","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/O3/ER13/XbrzDBIhP7/i7hmICBxzf.png"
1228993093.063,23.115,20.058,1.00e-21,2377.799,2.500,4726.627441,0.000,0.000,0.997,"FfiLRREMSE","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/O3/ER13/9avBuCi9L4/FfiLRREMSE.png"
1229055192.813,28.623,73.316,1.79e-21,3977.720,19.107,7945.525879,0.000,0.000,0.997,"XJmPtVb18L","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/O3/ER13/XbrzDBIhP7/XJmPtVb18L.png"
1228980893.313,21.913,30.831,1.72e-21,3977.720,7.858,7945.525879,0.000,0.000,0.996,"KB2mmfkztz","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/O3/ER13/9avBuCi9L4/KB2mmfkztz.png"
1229062253.313,20.773,17.502,2.87e-21,3905.542,2.250,7791.929199,0.000,0.000,0.996,"uP3eVGdrX0","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/O3/ER13/XbrzDBIhP7/uP3eVGdrX0.png"
1229063936.688,20.046,10.673,3.28e-21,21.619,2.500,25.082569,0.000,0.000,0.996,"DtxaoTuGDp","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/O3/ER13/XbrzDBIhP7/DtxaoTuGDp.png"
1229055950.813,21.526,18.325,2.22e-21,3809.301,2.250,7603.377441,0.000,0.000,0.996,"8oGShs2qsh","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/O3/ER13/XbrzDBIhP7/8oGShs2qsh.png"
